Grade Number,Class,Unit,Question,Answer
6,the messages of the sixth sky,good face,who is the imam?,an imam is a person who takes the leadership of the islamic society after the prophet by divine command and with full knowledge of the teachings of the religion.
6,the messages of the sixth sky,good face,10- what is our duty in front of our imams?,obedience
6,the messages of the sixth sky,good face,how does the prophet (pbuh) introduce his successors?,"the successors after me are ali and after him my two grandsons, hassan and hossein, then nine of hossein's children are his executors and successors respectively; the last one is mahdi, who disappears from the eyes of the people"
6,the messages of the sixth sky,good face,why did each imam introduce the imam after him before his martyrdom?,"so that the people will not be confused or confused in identifying the imam and the leader, and that he will be the guiding light of all the people and the flag bearer to fight against the oppression of the rulers."
6,the messages of the sixth sky,good face,each of these images is related to which of the characteristics of ahl al-bayt (as)?,1- treating people well 2- guiding and guiding people with kindness 3- being faithful and sincere even in difficult prison conditions
6,the messages of the sixth sky,good face,say the names of our beloved imams in order?,"1- imam ali (as)
2- imam hassan (a.s.)
3- imam hussain (as)
4- ali bin hossein (as) (imam sajjad)
5- muhammad bin ali (a.s.) (imam muhammad baqir)
6- jafar bin muhammad (as) (imam jafar sadiq)
7- musa bin jafar (a.s.) (imam musa kazem)
8- ali bin musa (as) (imam reza)
9- muhammad bin ali (a.s.) (imam muhammad taqi)
10- ali bin muhammad (a.s.) (imam ali naqi)
11- hassan bin ali (as) (imam hassan askari)
12- imam mahdi (as)"
6,the messages of the sixth sky,good face,"in your opinion, what duties do we have towards our kind imams?","1- let's try to get acquainted with their lives and words and live like them
2- to participate in the celebration of the birthday or the mourning ceremony of his martyrdom
3- if possible, we should go to the holy shrine of imam masoum (a.s.) and read the pilgrimage letter dedicated to him.
4- let's set them as our example in life and seek help from them"
6,the messages of the sixth sky,good face,what is the book of guidance and guidance of people?,quran
6,the messages of the sixth sky,good face,what is the best way to guide mankind?,introducing superior models and exemplary people
6,the messages of the sixth sky,good face,what is the other name of verse 33 of surah ahzab?,purification verse
6,the messages of the sixth sky,good face,"what is the meaning and meaning of the verse ""anma yarid allah lizhab ankam al-rajs ahl al-bayt wa yathar kam tathira""?","""indeed, god has willed to remove all filth and impurity from you ahl al-bayt and purify you.""
expressing the purity and innocence of the 14 innocents and imams"
6,the messages of the sixth sky,good face,which imam did not recount his kinship with the prophet (pbuh) while traveling?,imam sajjad (as)
6,the messages of the sixth sky,good face,why has god praised the honorable imams in the quran?,because they were kind and well-mannered;  they easily forgave others' mistakes; they did not hold grudges against anyone; people's mistakes were not pointed out and they were not blamed...
6,the messages of the sixth sky,good face,what is our duty to the imams?,obedience
6,the messages of the sixth sky,good face,write the main and blessed meaning of imam,divine position means leadership in religious and world affairs
6,the messages of the sixth sky,hand in hand friend,allameh hali went to the shrine of which imam?,imam hussain (as)
6,the messages of the sixth sky,hand in hand friend,who did allameh hali meet on the way?,imam zaman (as)
6,the messages of the sixth sky,hand in hand friend,who met imam zaman?,allameh hali
6,the messages of the sixth sky,hand in hand friend,"on the way to karbala, why doesn't allama hali ask imam asr's name in the first moments of his meeting?",imam's greatness prevents him from asking his name.
6,the messages of the sixth sky,hand in hand friend,"tell us about the life of allameh hali, what characteristics did he have that allowed him to meet imam zaman (a.s.)?",he was a prominent shia mystic and jurist and an example of a human being in every way. he loved the children of fatima zahra (pbuh) and recommended others to do the same. he always remembered imam zaman (as) and worked hard to see the imam. and prayed for their health and appearance
6,the messages of the sixth sky,hand in hand friend,"if we don't have water anywhere, what should we do to pray instead of ablution?",we have to team up
6,the messages of the sixth sky,hand in hand friend,what animal is the name of zul-janah?,horse
6,the messages of the sixth sky,hand in hand friend,"who is the hadith ""i remember all of you""?",imam zaman (peace be upon him).
6,the messages of the sixth sky,hand in hand friend,how can we benefit from the attention of imam zaman (as) and his prayers?,"let's improve our behavior, morals and intentions and get closer to him with good deeds."
6,the messages of the sixth sky,hand in hand friend,what prayers do you know about imam zaman,"faraj prayer of imam zaman (god is great)
prayer for the health of imam zaman
pledge prayer
nadba prayer
el yasin"
6,the messages of the sixth sky,period of absence,how was the behavior of the abbasid caliphs before the infallible imam (a.s.)?,"espionage, pursuit, arrest, imprisonment, persecution and martyrdom were the usual behavior of the abbasid caliphs against the infallible imam (a.s.)."
6,the messages of the sixth sky,period of absence,"after the martyrdom of imam hasan askari (as), who succeeded him?",imam mahdi (as)
6,the messages of the sixth sky,period of absence,"after the four people who were appointed to communicate with imam, who succeeded imam zaman?","no specific people were introduced, but pious scholars and theologians are always his successors."
6,the messages of the sixth sky,period of absence,what was the reaction of the abbasid caliphs after the election of imam mahdi (as) as the successor of imam hassan askari (as)?,"the caliph, who was very upset and disturbed by this incident, used all his forces to arrest imam mahdi (as) as soon as possible."
6,the messages of the sixth sky,period of absence,the prophet gave the good news of the birth of which imam?,imam mahdi
6,the messages of the sixth sky,period of absence,what did the prophet say about the imam of the time to the people of his time?,"the last imam, whose name is mahdi, fights against oppressors and destroys oppressive governments."
6,the messages of the sixth sky,period of absence,who rose against the king and created the islamic republic?,imam khomeini
6,the messages of the sixth sky,period of absence,who are the successors of imam zaman?,references of religious imitation
6,the messages of the sixth sky,period of absence,what happened to hazrat mahdi (as) after the martyrdom of imam hasan askari (as)?,"by god's command, he was hidden from the eyes of the people so that no one could access them."
6,the messages of the sixth sky,period of absence,how did the period of absenteeism begin?,"imam mahdi (a.s.) was hidden from the eyes of the people by god's command so that no one could access him. from this time, his ""period of absence"" began"
6,the messages of the sixth sky,period of absence,how many years did the minor (short-term) absence last?,69 years
6,the messages of the sixth sky,period of absence,how did imam mahdi (a.s.) communicate with the people during the minor occultation?,"in order to communicate with the people, imam mahdi (a.s.) chose special people to be his successors among the people, there were 4 of them, and in these 69 years, one after the other, they succeeded imam mahdi (a.s.), they answered the problems and questions of the people. they informed the imam, then they also conveyed the imam's recommendations and answers to the people"
6,the messages of the sixth sky,period of absence,how did the disappearance of the cobra begin?,"after that 4 people who were chosen as imam mahdi's successors one after the other during minor absence, imam mahdi (a.s.) did not introduce a specific person as his successor. it came that it continues to this day"
6,the messages of the sixth sky,period of absence,imam mahdi (a.s.) ordered that people should turn to whom during the period of great absence?,refer to pious scholars and jurists who are fully familiar with religious rules and teachings
6,the messages of the sixth sky,period of absence,what is our duty in front of religious imitation authorities?,we must refer to them to know the rules of religion and follow their orders
6,the messages of the sixth sky,period of absence,what is the duty of the jurist?,but the jurist manages the society with full knowledge of religious orders and social and political conditions
6,the messages of the sixth sky,period of absence,how did the people of iran create the islamic republic?,"the people of iran, under the leadership of imam khomeini (ra) and great religious authorities, were able to overthrow the anti-religious government of the shah and establish the islamic republic."
6,the messages of the sixth sky,period of absence,"in this era when imam mahdi (as) did not introduce a specific successor to the people, who will answer the religious questions of the people?",references of religious imitation
6,the messages of the sixth sky,period of absence,"if we do not refer to taqlid authorities to know about religious duties, what problems will arise for us?",we do not learn religious teachings and instructions properly and this issue will cause us to go astray and wander.
6,the messages of the sixth sky,period of absence,who should manage the islamic society?,but a jurist
6,the messages of the sixth sky,sixth gift text questions /,name the stages of human life in order?,"1. the stage of nine months in the mother's womb
2. a child
3. adolescence
4. youth
5. adulthood
6. old age
7. old age"
6,the messages of the sixth sky,sixth gift text questions /,what does the holy quran say in response to those who consider death to be the end of life?,"death is not the end of life and after death we step into another world that is much bigger and more wonderful than this world, our main life will be in that world."
6,the messages of the sixth sky,sixth gift text questions /,does human life end after death?,no - because it enters another stage of life after death.
6,the messages of the sixth sky,sixth gift text questions /,which is our superior life and main life?,life in the afterlife
6,the messages of the sixth sky,sixth gift text questions /,compare the life of this world and the hereafter?,"1. life in this world is limited and will end one day, but life in the hereafter is permanent and eternal
2. in the hereafter, everyone will be placed in their own place, but in this world, some may not be placed in their place.
3. in the hereafter, justice will be established, but in this world there may be injustice"
6,the messages of the sixth sky,manners of life,3. what is etiquette?,the behaviors that we do when we face others and to be polite to them are called social etiquette.
6,the messages of the sixth sky,manners of life,4. what does observing social etiquette indicate?,it shows the respect we give to others
6,the messages of the sixth sky,manners of life,5. what does observing social etiquette cause?,increases kindness and intimacy
6,the messages of the sixth sky,manners of life,6. what are the instructions of the quran regarding social etiquette?,nice speech and nice behavior
6,the messages of the sixth sky,manners of life,7. what inappropriate behaviors does the quran prohibit?,"gossiping, making fun of others, giving ugly nicknames to others, spying on others' work and finding fault with others."
6,the messages of the sixth sky,manners of life,8. what do you do if you see your friend making fun of someone?,"i politely remind him that what he is doing is wrong and if he doesn't pay attention, i will leave that place."
6,the messages of the sixth sky,the way to health,2. what sports did our religious leaders order others to participate in?,"shooting, swimming, wrestling, horse riding"
6,the messages of the sixth sky,the way to health,"5. in order to maintain health, we should pay attention to proper nutrition and sleep in addition to exercise. what does that mean?","it means to eat breakfast, lunch and dinner in full and on time, and sleep on time at night to start the morning cheerfully and cheerfully."
6,the messages of the sixth sky,the way to health,6. what are the consequences of not paying attention to maintaining health?,it makes our body weak and weak and loses the ability to resist various diseases
6,the messages of the sixth sky,the way to health,"7. in our religion, what is condemned and what is ordered?","weakness, weakness, laziness, and laziness have been condemned and muslims have been advised to increase their abilities."
6,the messages of the sixth sky,sixth gift text questions /,what do those who doubt the day of resurrection underestimate god and what are they wondering about?,the power of god
6,the messages of the sixth sky,sixth gift text questions /,what does god say in response to those who doubt the day of resurrection?,is it more difficult to recreate you (in the resurrection) or to create the sky that god created
6,the messages of the sixth sky,sixth gift text questions /,by what name has god mentioned the resurrection in surah hamad? what does this name mean?,yom al-din means the day of reward and punishment
6,the messages of the sixth sky,sixth gift text questions /,why does the qur'an consider the life of the hereafter superior to the life of this world?,"1- it is more amazing.
2- it is better and more stable.
3- we will not witness any cruelty."
6,the messages of the sixth sky,sixth gift text questions /,what does belief in resurrection mean?,"that is, we believe that human life does not end with death and after death we enter a new world. in that world, they take care of our behavior in this world"
6,the messages of the sixth sky,sixth gift text questions /,what kind of personality was abdulazim hosni?,"hazrat abdul azim hosni, a man of knowledge and faith, was a descendant of imam hassan mojtabi (as), the iranians call him shah abdul azim, his shrine is in the city of ray, and he is one of the companions and students of hazrat imam javad (as) and hazrat imam hadi (as) has been"
6,the messages of the sixth sky,sixth gift text questions /,what does province mean?,"it means loving god, the messenger and the infallible imams (pbuh) and obeying them completely"
6,the messages of the sixth sky,sixth gift text questions /,name the religious duties of muslims?,"wilayat, prayer, zakat, fasting, hajj, jihad, enjoining good and forbidding evil"
6,the messages of the sixth sky,manners of life,1. name some behavioral characteristics of the prophet?,"1. he used to greet everyone face-to-face, before the big and the small
2. he always had a smile on his face, but he didn't laugh out loud
3. he sat next to people and did not have a special place for himself
4. he was good-looking and well-mannered"
6,the messages of the sixth sky,manners of life,2. what does the prophet (peace be upon him) say about sour cream?,god does not like the person who meets others with a sour face
6,the messages of the sixth sky,the way to health,8. what does imam hussain (as) say about health?,strive for the health of your body throughout your life
6,the messages of the sixth sky,the way to health,9. what did imam sajjad (as) pray for his health and strength?,god! give me health and physical strength
6,the messages of the sixth sky,the way to health,10. why did our religious leaders pray for health and wellness?,"because a sick person is forced to give up part of his academic and social work and activities in order to recover, he cannot participate in jihad against the enemies of god or good deeds that require strength."
6,the messages of the sixth sky,the way to health,11. why does islam encourage us to maintain health and well-being?,"because the more health and well-being we have, the more cheerful we will be and the more interest and motivation we have to do different things."
6,the messages of the sixth sky,the way to health,12. name the two blessings that are unknown according to the holy prophet (pbuh)?,health and safety
6,the messages of the sixth sky,the way to health,13. what do you do to maintain your health?,"good and appropriate nutrition, enough sleep, exercise and appropriate activities, personal and general hygiene"
6,the messages of the sixth sky,the way to health,14. what ways do you know to be grateful for your health?,"1- when our friend gets sick, let's visit him
2- when eating, let's start with the name of god and observe the customs of eating
3- to help people in need
4- let's thank god for his many blessings."
6,the messages of the sixth sky,the way to health,16. what are the benefits of exercising for us except maintaining health and well-being?,"it makes the mind and soul healthy, fresh and alive and makes us enjoy life more."
6,the messages of the sixth sky,blessed travels,what does broken prayer mean?,"that is, we should pray four rakats of noon, afternoon and evening prayers in two rakats"
6,the messages of the sixth sky,blessed travels,what is the ruling on the prayer of a traveler who travels less than 5.22 kilometers from his homeland?,it is complete
6,the messages of the sixth sky,blessed travels,what is the ruling on the prayer of a traveler who travels more than 5.22 km from his homeland and intends to stay for 10 days or more?,it is complete
6,the messages of the sixth sky,blessed travels,what is the ruling on the prayer of a traveler who travels more than 5.22 km from his homeland and intends to stay less than 10 days?,is broken
6,the messages of the sixth sky,blessed travels,"the traveler's prayer is broken in a situation, what does it mean?","this means that we should pray 4 rakats of noon, 2 rakats of asr and 2 rakats of isha"
6,the messages of the sixth sky,blessed travels,there are places in the journey where you can pray in full; even if we stay there for less than ten days. true / false,is correct
6,the messages of the sixth sky,blessed travels,they have gone to mashhad with their parents to visit imam reza (peace be upon him) and they want to stay there for seven days.,"broken, because they stay there for less than ten days."
6,the messages of the sixth sky,blessed travels,"with their family, they have gone 5 kilometers from the city for fun.","perfect, because they are less than 5.22 km away from the city."
6,the messages of the sixth sky,blessed travels,they have gone to isfahan to see their grandmother and plan to stay there for two weeks.,"kamel, because they plan to stay in isfahan for more than ten days."
6,the messages of the sixth sky,blessed travels,"on a friday morning, he goes to a village 15 km from shiraz with his family to visit his relatives.","wrong, because they left before the midday call to prayer."
6,the messages of the sixth sky,blessed travels,"they move to qom with their families on the first day of ramadan, after performing noon and evening prayers.","correct, because they move after the midday call to prayer"
6,the messages of the sixth sky,blessed travels,they reach qom the next morning and decide to stay there for 12 days.,sahih because they stay in qom for more than 10 days
6,the messages of the sixth sky,blessed travels,"at the end of the journey, they leave qom at night and arrive in shiraz at two o'clock in the afternoon.",invalid because they have returned to their homeland after the noon call to prayer
6,the messages of the sixth sky,sixth gift text questions /,who rebuilt the house of god?,hazrat ibrahim and his son hazrat ismail
6,the messages of the sixth sky,sixth gift text questions /,"after abraham, how did people use the kaaba?","after abraham, people gradually became idolaters instead of worshiping the one god, they made wooden and stone idols and placed them in the kaaba."
6,the messages of the sixth sky,sixth gift text questions /,prophet muhammad (pbuh) was from which generation?,he was a descendant of prophet ibrahim (as) and was born in the city of mecca
6,the messages of the sixth sky,sixth gift text questions /,how did god's house become a place of worship for god's worshipers?,"when hazrat muhammad became a prophet from god, he fought against idolatry and with the help of his companions, he destroyed all the idols in the land of mecca."
6,the messages of the sixth sky,sixth gift text questions /,what did god command about the kaaba to prophet muhammad after he became a prophet?,god ordered him to clean his house of idols and make it a place for the worshipers of god.
6,the messages of the sixth sky,sixth gift text questions /,what does tawaf mean?,muslims enter masjid al-haram and go around the house of god seven times. this action is called tawaf
6,the messages of the sixth sky,sixth gift text questions /,what do muslims do during hajj?,"before entering mecca, they wear ihram clothing and then enter masjid al-haram and go around the house of god seven times and then pray two rakats and move seven times between the two mountains of safa and marwah and on the day of eid-ul-adha they sacrifice a sheep. they sacrifice"
6,the messages of the sixth sky,sixth gift text questions /,why is the sacrifice ceremony in eid al-adha one of the memorials of prophet ibrahim?,because hazrat ibrahim is the first person who sacrificed a sheep in this land by god's command
6,the messages of the sixth sky,sixth gift text questions /,what do muslims do on eid al-fitr and eid al-adha?,"1. at the end of ramadan (eid fitr), he gives money as zakat to the needy
2. on eid al-adha, they give sacrificial meat to the poor
3. they bathe
4. they wear their best clothes
5. they pray two rakats of the eid prayer"
6,the messages of the sixth sky,sixth gift text questions /,what are the benefits of hajj?,"1. it causes unity and unity among muslims
2. they get to know different cultures and customs
3. they learn about each other's problems and think together to solve the problems of the islamic world"
6,the messages of the sixth sky,sixth gift text questions /,what are the characteristics of muslim eids?,"making the poor and the needy happy, celebrating, praying the eid prayer, wearing clean clothes and gathering together."
6,the messages of the sixth sky,sixth gift text questions /,what things will make us happier on eid days?,"sharing your happiness with others, such as giving gifts to the needy, seeing and visiting friends, acquaintances, and relatives"
6,the messages of the sixth sky,sixth gift text questions/,how will efforts lead to success? page 86,if they are accompanied by order and planning.
6,the messages of the sixth sky,sixth gift text questions/,what does imam ali (a.s.) say about order in work?,i order you to observe order in your work
6,the messages of the sixth sky,sixth gift text questions/,4. what are the important factors that make us successful?,"be patient, try and not be afraid of failure"
6,the messages of the sixth sky,sixth gift text questions/,"if you want to succeed in anything, you must have patience, try and not be afraid of failure. (true false)",correct
6,the messages of the sixth sky,sixth gift text questions/,what does god order in the qur'an about efforts?,there is no benefit for man except what he has tried.
6,the messages of the sixth sky,sixth gift text questions/,,success becomes difficult or impossible.
6,the messages of the sixth sky,sixth gift text questions/,name the five steps to success? page 88,"1. having special tools
2. having a skilled and experienced teacher
3. order and planning in work
4. order in practice
5. having patience"
6,the messages of the sixth sky,sixth gift text questions/,why do we have to go through all five steps to achieve success?,because these five steps are complementary to each other and each step is like the railings of a ladder that you cannot reach success without crossing.
6,the messages of the sixth sky,sixth gift text questions/,successful people are those who will either find a way or make a way. (true false),is correct
6,the messages of the sixth sky,eternal epic creators,what does god say about martyrs in the holy quran?,"whoever fights in the way of god, gets killed or wins, we will give him a great reward"
6,the messages of the sixth sky,eternal epic creators,who are the unknown martyrs?,the pure bodies of martyrs whose names and address are not known are called unknown martyrs.
6,the messages of the sixth sky,eternal epic creators,how were the holy defense martyrs? 93,"they sacrificed everything in the way of god, they sacrificed their lives so that the islamic homeland would remain stable, and their sacrifices humiliated and humiliated the enemies of islam."
6,the messages of the sixth sky,eternal epic creators,what does the holy prophet (pbuh) say about martyrdom?,"above every good deed is another good deed, and martyrdom in the way of god is the highest good deed"
6,the messages of the sixth sky,eternal epic creators,"during the holy defense period, besides the martyrs, who else were injured in the enemy's attacks? 94","innocent people, women, children and the elderly who lived in war-torn areas."
6,the messages of the sixth sky,eternal epic creators,"in your opinion, if it were not for the sacrifices of martyrs and warriors, what would happen to us?",our country would fall into the hands of foreigners and we would lose our freedom and foreigners would rule over us.
6,the messages of the sixth sky,pilgrimage,"what is the nickname of hazrat fatima (s), the daughter of imam musa kazem (as)? page 99",masoumeh
6,the messages of the sixth sky,pilgrimage,"why did they leave the title of hazrat fatimah, the daughter of imam musa kazem, innocent?",because of avoiding bad deeds and avoiding sins
6,the messages of the sixth sky,pilgrimage,what does masoumeh mean?,avoiding bad deeds and avoiding sins
6,the messages of the sixth sky,pilgrimage,why is the shrine of hazrat masoumeh (pbuh) in qom? page 100,"because he went to khorasan to visit his brother imam reza (as), but during that long journey, he fell ill near the city of saveh, then he came to qom and died in this city after a few days."
6,the messages of the sixth sky,pilgrimage,"in a part of hazrat masoumeh's letter of pilgrimage, we read: 
peace be upon you, daughter of the imam; peace be upon you, sister of the imam; greetings to you, imam's aunt, do you know the names of these three nobles?","in order: imam musa kazem (a.s.), imam reza (a.s.), imam javad (a.s.)"
6,the messages of the sixth sky,pilgrimage,how was hazrat shahcheragh martyred?,"near shiraz, the ruler of fars, who was a descendant of mamun, the tyrannical abbasid caliph, sends an army against shahcheragh and martyrs him and his few companions."
6,the messages of the sixth sky,pilgrimage,describe some of the characteristics of shahcheragh's character?,"1. he was a wise man and explained religious issues very well to the people
2. it had a beautiful line
3. he wrote the holy qur'an in good handwriting and gave it to the people
4. he was very generous and had a large land, which he sold and gave the money to the needy"
6,the messages of the sixth sky,pilgrimage,describe some of the rituals of pilgrimage? page 105,"1. it is better to perform ablution
2. enter the shrine respectfully and quietly
3. let's read the letter of pilgrimage
4. pray for others and ourselves"
6,the messages of the sixth sky,model student,the sample student uses ……….. well.,his opportunities
6,the messages of the sixth sky,model student,……….. causes the rights of students who have worked hard to be violated.,fraud
6,the messages of the sixth sky,model student,as much as the lesson is important ……….. and …………… is also important.,ethical manners
6,the messages of the sixth sky,model student,a student is an example of someone who is not shy and asks his teacher any question without fear or worry.,correct
6,the messages of the sixth sky,model student,one of the characteristics of an exemplary student is that he respects his teacher.,correct
6,the messages of the sixth sky,model student,"an exemplary student does not waste, because god does not like waste.",correct
6,the messages of the sixth sky,model student,a typical student does whatever he wants whenever he wants.,wrong
6,the messages of the sixth sky,model student,write five characteristics of a typical student.,"planning, respecting the teacher, being kind to other students, avoiding extravagance, avoiding cheating"
6,the messages of the sixth sky,model student,what did hazrat ali (as) say about opportunities and using them?,opportunities pass like a cloud (quickly). make good use of opportunities.
6,the messages of the sixth sky,model student,"what does the messenger of god (pbuh) say about the value of ""question""?",question is the key to the treasure of knowledge
6,the messages of the sixth sky,model student,"considering that it may not be possible to find someone who is an example in all his work, what is our duty as a student who wants to be an example?",we should try to do everything correctly and accurately and be exemplary in everything as much as we can.
6,the messages of the sixth sky,model student,how can a student be kind to others?,"for example, if someone is weak in a lesson, help him and take care of the students of lower classes."
6,the messages of the sixth sky,model student,"which option is not an example of student characteristics?
1. planning
2. attention to friends
3. talking with friends in class
4. respect for the teacher",option 3
6,the messages of the sixth sky,model student,"how does a typical student behave to organize his life?
1. he imitates the lives of those he admires and behaves like them.
2. he observes order in all his activities such as sleeping, eating, exercising and other activities. ✅
3. he does not do extra work and tries to do only his homework.
4. by imitating the teacher and school officials, he tries to behave like adults.",option 2
