Question,Answer
"12. in all courts, people have the right to choose to defend their rights.",lawyer
13. who is the lawyer?,a lawyer is a person who has studied law and is familiar with the laws and has a license or a lawyer's license.
1. what does communication enable a person to do?,communication enables people to communicate their wants and needs to others.
2. what are the ways of communication between humans?,affection exchange thoughts and beliefs exchange information share feelings solve problems understand others
3. what does the communication network we live in include?,"we live in a network of communication. this network starts with family, friends, and the school district, and then with the help of mass communication tools, we can communicate even at the national and transnational level."
4. what does communication mean?,communication is the flow of sending and receiving messages
5. name the elements of communication?,message sender and receiver
"6. with an example, specify the sender of the message, the receiver of the message and the message?","when we greet or smile at a friend, we are the sender of a message and our friend is the recipient, and the message is a greeting or a smile."
7. what is meant by feedback?,"if the receiver also sends a message to the sender and realizes that he has received the meaning of the message, this action is called feedback."
8. what is media and what does it include?,"any device that transmits a message from a sender to a receiver is called media. media includes tools such as language, printed tools such as signs, books, magazines, and electronic tools such as telephone, radio, television, the internet, etc."
1. name three examples of information and communication technology applications in life?,"fast communication with others through mobile phones, scientific activities through the internet, internet buying and selling"
2. what can be done with e-mail?,"you can write a letter and send textual or audio and video activities along with the letter, the recipient can receive the message immediately and quickly."
3. what are the advantages of using encyclopedias and electronic libraries for research work?,internet
4. write three examples of e-government services?,"payment of water, electricity, phone bill, hajj and ziarat registration, entrance exam registration, knowledge of exam results"
5. what can people do through the atm phone and the internet?,"people can connect to the banking network through the atm phone and the internet and perform tasks such as depositing money to other people's accounts, taking balances, receiving bills, or withdrawing money from their own accounts."
6. what are the results of using information and communication technology?,"it helps to save time and costs, reduce commuting in cities, and in addition, we can use these services 24 hours a day."
7. what is the effect of mass communication on public culture?,"today, experts believe that mass communication media have a great impact on people's lifestyle and identity. they also argue that the media can make people think in a certain way or see events as they want, in other words, the media. affect the beliefs, thoughts and behavior of people, these effects may be positive or negative."
8. write the negative effects of mass communication media? two things,"nowadays, a large part of the time of the people of the world is spent watching tv and using the internet. most of the movies show fights and violence, which may promote moral unrest in users.
commercials that encourage consumerism in society
decreased face-to-face contact with people and decreased visibility and visits of relatives and friends"
9. what are the negative effects of commercials?,"expanding consumerism, changing lifestyles and public culture, making harmful or useless goods appear useful"
10. write the harmful effects of computer games?,"in many of these games, winning means hitting and killing the characters. these games encourage violence and later people confuse the real environment with the game environment. the games show violence and fear, which have bad effects on the psyche. it leaves teenagers."
11. what things should we observe when entering the virtual space and using the internet?,"all the information on the internet that is not correct
never put your family photos or videos on the internet
do not disclose the e-mail password, bank card password of parents, etc
addiction to computer games or the internet causes disruption in life and education, so let's dedicate a certain hour to this work."
12. can the information on the internet be trusted? why?,"no, all the information on the internet is not correct because it is published by different people and sources.
so you should research and search about the correctness of the source."
1. where did islam appear and what is the other name of the arabian peninsula?,islam appeared in the arabian peninsula and its other name is the arabian peninsula.
2. which saudi cities are located in the mountainous region of hijaz?,"the cities of mecca and medina, taif"
3. which cities were the most important trade stations in arabia?,mecca and yathrab
4. define the age of ignorance?,the social and cultural conditions of the saudi people in the era before the prophet was such that it is referred to as the age of ignorance.
5. what religions did the arabs follow in the age of ignorance?,"most of them worshiped idols, they had filled the house of god with various idols, of course, a group of arabs were followers of abraham, or the jewish, christian, and zoroastrian religions."
6. what was the state of science and knowledge of the arabs during the period of ignorance?,they did not benefit much from science and knowledge and few of them could read and write.
7. what was the position of saudi women in the age of ignorance?,they often had a low position and some men even felt inferior to have a daughter.
8. what factors caused the spread of tribal conflicts and the prevalence of kurdish looting among the ignorant arabs?,"tribal bigotry had caused resentment and a sense of revenge among different tribes, and it resulted in continuous wars and bloodshed. on the other hand, the lack of food and other necessities of life was also a factor in the spread of tribal conflicts and the prevalence of looting."
9. in which city was prophet muhammad born?,in the city of mecca
10. why was prophet muhammad called muhammad amin?,because that prophet was not influenced by the environment contaminated with polytheism and corruption in mecca and became so famous for his purity and integrity that he was called muhammad amin.
11. what place did prophet muhammad choose for worship and at what age did he become a prophet?,"the mountains around mecca, including the mangrove cave at the age of forty"
12. who were the first people who believed in the messenger of god?,hazrat khadija peace be upon him and hazrat ali peace be upon him
13. who were afraid of the spread of islam?,abu lahab abu jahl abu sufyan
14. what was the prophet's response to the polytheists' proposal to receive wealth?,"i have not been sent to gather us and rule, i have sent my god as a messenger to you. if you accept from me, this will lead to your happiness in two worlds, and if you reject it, i will persevere in this way so that god will judge between me and you."
15. factors caused the enmity of meccan nobles and elders with the prophet. activity 3,"blindly following the beliefs of ancestors
islam's clear opposition to jahili thoughts and beliefs
jeopardizing the economic interests of the nobility by converting the slaves and the poor to faith
jeopardizing their status and social position"
16. who were the first martyrs of islam?,"yasser, his wife, samia, their son, ammar and bilal habashi"
17. why did the prophet ask muslims to migrate to abyssinia?,persecution of the polytheists against the followers increased when the prophet asked the muslims to migrate to abyssinia.
18. what was the economic and social boycott of muslims?,"any kind of buying and selling and social relationship, i.e. marriage with the followers of islam, was forbidden."
19. what did the messenger of god and his companions do about the economic and social sanctions of muslims?,"at the suggestion of abu talib, they took refuge in one of the valleys around mecca called shab abu talib and endured a difficult time here for about three years."
"20. in the end, what was the economic sanctions agreement of the polytheists?",this covenant was eaten by termites and only the word bismillah remained.
21. who are called ansar?,"the group of residents of yathrab who made a pact with the prophet (peace and blessings of god be upon him) and helped him are called ansar, which means helpers."
22. who were the immigrants called?,a group of muslims around the world abandoned their possessions and moved from mecca to medina. they are known as emigrants.
23. what was the prophet's first action after entering medina?,building a mosque
24. with what authority and in which city did the prophet officially announce the islamic government?,with the signing of the treaty between muslims and jews in the city of medina
25. what is ghazwa and series?,"after the prophet's wars in which he participated, ghazwa and some who were appointed by the commander during the prophet's time were called saria."
26. what did the prophet always order his followers to do in war?,he advised to observe moral principles and human values ​​in wars and especially ordered to treat prisoners well and avoid destroying and looting people's property in war.
27. prophet wrote letters to the rulers of which countries?,"iran, rome, egypt, abyssinia"
28. who did the prophet dig a ditch around the city at the suggestion of the trench war?,salman farsi
29. what happened in the ghadir incident?,hazrat ali was chosen as a successor.
30. what did the prophet say in the incident of ghadir?,"whoever i am the leader of, then this ali is his leader. o allah, love those who love him and hate his enemies."
1. on what date and where did the prophet die?,on 28 safar of the year 11 hijri in the city of medina
2. what was the story of saqifa bani saedeh?,"moments after the death of the messenger of god, while ali and a number of companions were engaged in the burial, a number of ansar and muhajir gathered in a place called saqifa bani saedah and discussed about the succession of the prophet. and the succession of the messenger of god is their right."
3. how did abu bakr reach the caliphate?,"due to the fact that in the past there was competition and differences between the ansar, a group of people present in abu bakr's saqeefah, who were immigrants and old people, pledged allegiance, thus he was recognized as the first caliph."
4. why was ali silent at the beginning of abu bakr's caliphate?,"imam ali, who was introduced by the prophet on the day of ghadir khum, but remained silent for the sake of preserving islam."
5. how many years did abu bakr rule and who did he choose to succeed him?,abu bakr ruled for two years and chose umar bin khattab as his successor.
6. how many years did omar rule and what areas did he conquer?,"omar ruled for 10 years and conquered a large part of iran and the countries of syria, lebanon, palestine and egypt."
7. how did osman reach the caliphate and what was the state of the country during his time?,"uthman, the middle caliph of the council appointed by umar, came to the caliphate at the time when, unlike the first two caliphs, luxurious life and aristocratic style became popular, the caliph's entourages and agents started enjoying themselves with the wealth obtained from the conquests."
8. why did uthman punish and exile some of the close companions of the prophet?,abu dharr punished and exiled ammar and malik ashtar because they criticized him and those around him.
9. why and how was osman killed?,"the actions of the people around the third caliph aroused the dissatisfaction of a group of muslims, they came to medina from different places and expressed their protest against the actions of the perpetrators. they attacked and killed him"
10. where was imam ali born and how was his childhood spent?,"imam ali, the son of abu talib, was born in the kaaba. he spent his childhood and adolescence in the house of prophet muhammad and was educated by him."
11. what did they do during the caliphate of the previous caliph hazrat ali (peace be upon him)?,"he used to interpret the qur'an, educate students and answer people's religious questions. he also paid great attention to construction and construction of groves."
"12. what factor caused the opposition and enmity of those seeking the presidency and those who gathered wealth with ali, and what wars did they impose on him?","the insistence of ali (peace be upon him) on following the qur'an and the sunnah of the prophet and the administration of justice caused the opposition and enmity of those seeking the presidency and the wealth-seekers. this group, when they were sure that the imam would not act according to their wishes, started sedition and the three wars of jamal safin and nahrwan with he imposed"
13. who did imam ali defeat in the battle of jamal?,the imam defeated the traitors in the battle of jamal.
14. explain the battle of safin?,"in safin, imam ali went against muawiya's army and called them oppressors. the steadfastness of ali's companions, especially malik ashtar, showed the signs of defeat and the face of the oppressive army, but in the last moments, umar's trick prevented the victory of imam ali's army, peace be upon him."
15. state the reasons for sedition and war against the government of imam ali. activity 1,"imam ali's insistence on following the qur'an and the sunnah of the prophet to implement justice
struggle with wealthy presidential aspirants"
16. how many years did imam ali rule?,about 5 years
17. name the most important feature and achievement of ali's rule?,"governance based on the orders of the qur'an and the sunnah of the messenger of god
correcting many deviations that had arisen in religion
many economic services during the reign of ali (peace be upon him).
simplicity and dealing with aristocracy, emphasis on justice
electing competent people to govern provinces with tolerance for opposition"
18. what did imam ali say about muawiyah's request to rule syria and egypt?,god does not like that i take as my helpers those who mislead.
19. how did imam ali deal with opponents and critics?,imam ali tolerated the opponents and was not upset by their criticism and even paid their share from the treasury. the imam dealt with the opponents when they took up the sword.
20. on what date was imam ali martyred?,"on 21 ramadan, 40 ah"
21. why did imam hasan have to make peace with muawiyah?,"mu'awiyah deceived and attracted many tribal chiefs and even the imam's companions by promising them money and status. in such a situation, the imam had to accept the peace proposal."
22. where did mu'awiya reach the caliphate?,in your evening
23. who did muawiyah choose as his successor and inherit the caliphate?,his son yazid
24. write a characteristic for muawiya's government. activity 4,"gaining power by cunning
lack of loyalty to peace with imam hassan
the choice of yazid as a successor"
25. what did yazid do after hearing the news of imam's move?,"he appointed obaidullah bin ziyad, who was a hard-hearted and bloodthirsty man, to rule kufa."
26. why did imam hussein go to mecca from medina after yazid came to power?,"imam husayn, who did not want bayezid to pledge allegiance, left medina with his family for mecca. the imam intended to prepare the people to oppose yazid's corrupt government in the shelter of god's house and by using the days of hajj."
27. what did obaidullah ibn ziyad do in the city of kufa?,he scared the people by creating terror and arrested muslim bin aqeel and martyred him.
28. what was the event of ashura?,"the army of yazid, when the imam arrived in kufa, his caravan was forced to stop in the land of karbala. yazid's troops, who were many in number, surrounded imam hussain and his companions and started the war on the day of ashura."
29. what did imam hussein say in his will about the goals of his uprising?,"my goal is to reform the ummah of my ancestor, the messenger of god, enjoining the good and forbidding the evil, following the way of the messenger of god and my father, ali bin abi talib."
"30. after the incident of karbala, who disgraced yazid's government with harsh speeches?","hazrat zainab, peace be upon him."
1- how did the period of ancient iran end?,with the arrival of the islamic army in iran and the collapse of the sassanid government.
3- khosrow parviz did not accept the prophet's invitation to accept islam.,"correct
false ( )"
4- how was the situation in iran on the eve of the arab attack?,"a) competition within the sassanid court had increased due to the murder of khosrow parvez by his son.
b) the revolt of the commanders had weakened the morale of the troops.
c) people were dissatisfied with the sassanid government due to the class system, injustice and heavy taxes.
d) fertile fields and farms were destroyed due to flooding of the tigris and euphrates rivers.
e) famine and outbreak of plague and cholera had worsened the situation."
5- who issued the command to attack the borders of the sassanid government and the eastern roman empire?,abu bakr the first caliph
7-explain the battle of qadisiyah?,"the sassanid army was defeated by the muslim army, which had a high morale and more motivation, in the battle of qadisiyah. rostam farrokhzad, the commander of the sassanid army, was killed, and some time later, tisphon, the capital of the sassanids, was captured by the islamic army with a lot of booty."
8- who was the commander of the sassanid army in the battle of qadsiya?,rostam farrokhzad
9- in what war did the muslims inflict the final blow on the body of the sassanid army?,hidden war
10- who was the last sasanian king? and by whom was he killed?,he was the third yazdgerd and was killed by a miller in merv.
11- how did the sassanid dynasty fall?,"the final blow to the body of the sasanian army came in the battle of nahavand, so that yazdgerd iii, the last sasanian king, could no longer gather an army to face the arabs. after the nahavand war, the cities and provinces of iran were captured by the arabs one after the other, and finally, when the arabs entered khorasan, yazdgerd iii was killed by a miller in merv, and the sassanid dynasty ended after 244 years."
12- why didn't the people help the sassanid government to fight the islamic army?,"due to the atrocities committed by the sassanid government, the people not only did not help the government to fight the islamic army, but also killed their king."
13-which city was the center of the umayyad caliphate?,dinner
14- how was the situation in iran during the umayyad caliphate?,"a) the umayyads built their government on the basis of violence and oppression.
b) nobles and heads of arab tribes ruled over most provinces of iran.
c) the umayyads used to brag about their people and lineage.
d) they despised non-arab peoples, including iranians.
e) iranians were not allowed to hold important positions in the government."
15- which imams were martyred during the umayyad era?,"- imam hasan
- imam hussain (as)
- imam sajjad (a.s.)
- and imam muhammad baqir (a.s.)"
16- why did the people of iran fight and oppose the umayyad government?,because the people of iran were fed up with the umayyad oppression and ethnocentrism and used every opportunity to oppose.
17- where did mukhtar thaghafi rise up and who wanted blood?,in kufa and for the blood lust of imam hussain (as) and his companions.
18- how did the abbasids come to power?,"at the end of the umayyad rule, they sent representatives to different parts of iran, including khorasan, and invited the people to revolt against the umayyads and the government of one of the prophet's (pbuh) families, but they did not say who they meant, the iranian muslims, especially the khorasanians. they accepted and finally iranian general abu muslim rose up in khorasan and defeated the umayyads and elevated safah from the abbasid dynasty to the caliphate."
19- who was the second abbasid caliph?,mansour
21-write the actions of mansour abbasi?,"a) the building of the city of baghdad
b) martyrdom of shiite imams
c) killing abu muslim khorasani"
22-which abbasid caliphs put shia imams in jail and made them martyrs?,mansour-harun al-rashid and mutawakkel
23- did the abbasid caliphs use iranians to run the government or not?,"explain. yes, unlike the umayyads, they used iranians in important positions such as the ministry, the commander of the army and the government of cities, of course, many of them had a bitter and unfortunate fate."
24- what was the fate of the iranians who served the abbasids?,many iranians who served the abbasid caliphate had a bitter and unfortunate fate.
26- who were the bermakians?,they were from a famous iranian family who were in charge of the ministry and government of the provinces during harun's caliphate and had gained a lot of influence and power.
27- what was the end result of barmakian?,"harun, the abbasid caliph, got angry with them and ordered them to be removed from power, imprisoned and killed."
28-when did the weakness and disintegration of the abbasid empire begin?,"in the third century of hijri, the abbasid caliphate began to weaken. it was in such conditions that governments were gradually formed in different parts of iran and the division of the vast territory of the caliphate began."
29- who and where was the first iranian who converted to islam?,salman farsi in medina.
31- what was the role of salman farsi in the party war (khandaq)?,he suggested to dig a ditch to defend the city of medina.
31- what did the prophet say about salman?,salman is from our family.
32- name how many loyal companions of hazrat ali?,salman - moqdad - abuzar and ammar
33-when did the iranian rulers of yemen become muslims?,"during the time of the messenger of god, they went to medina and believed in islam."
34- how did iranians become inclined towards islam?,"after understanding the message of islam, they voluntarily accepted this religion."
35- what was the reason for iranians' interest in islam?,"the message of islam was equality and brotherhood, this message was very attractive to the people of iran who were unhappy with the privileges of the elites. in addition, the morals and behavior of the prophet and shia imams played an important role in iranians' interest in islam."
36- why did iranians have a special interest and devotion to hazrat ali and his children?,"because during his rule, he did not consider any superiority or privilege for arabs over non-arabs."
37- the presence of which noble imam in iran had a great impact on the attention and tendency of iranian people towards islam?,imam reza (a.s.) and his sister hazrat masoumeh (a.s.) and his brother hazrat shah chirag and other imams.
1- what factor had a great role and contribution in the prosperity and flourishing of iranian-islamic culture and civilization?,"after a century of rule, the abbasid caliphate became weak and the caliphs could not manage their vast territory well, therefore, suitable conditions were created for the formation of iranian dynasties. these dynasties had a great role and contribution in the prosperity and prosperity of iranian-islamic culture and civilization."
2- name the most important iranian dynasties that ruled parts of iran between the 3rd and 5th centuries of hijri?,taherian-safarian-alawian-samanian-al boyeh dynasties
4- who was the founder of the taherian dynasty?,tahir zwaliminin
5- who was the founder of the samanian dynasty?,amir ismail samani
6- what was the relationship between the taherian and samanian dynasties with the abbasid caliphs?,"these two dynasties established friendly relations with the abbasid caliphate, and the emirs of these dynasties usually expressed loyalty and obedience to the caliphs."
7- the founders of which dynasties established their rule without the permission of the abbasid caliphs?,taherians-safarians-alevis-samanians-al boyeh
8- who was the founder of the saffarian dynasty? and with whose help did he come to power?,"yaqub leith came to power with the support of the people of sistan, especially ayaran."
9- what was the relationship between the saffarians and the abbasid caliphs?,the relations between the saffarians and the abbasid caliphate were hostile.
10- write the actions of jacob leith?,"he overthrew the taherian government - he marched to iraq and planned to capture baghdad, but he failed, but due to illness and death, he did not have the opportunity to compensate for this failure."
11- why were the abbasid caliphs enemies of the alevis of tabaristan?,because the alawites were followers of the shiite religion and did not recognize the abbasid government.
12- what was the relationship between the al-buyeh dynasty and the abbasids?,"their relations were in a different way, because the boya clan captured baghdad and took the abbasid caliphs under their influence and dominion."
14- what religion did al boyeh follow and what was considered during their rule?,"they were followers of the shiite religion and during their rule, shiite education and culture were noticed and expanded in iran."
15- what works were done by the order of al boyeh rulers?,"by the order of the al-buyeh rulers, the holy shrines of the imams in najaf, karbala, and kazmin were rebuilt, and the eid al-ghadir ceremony and the mourning gatherings of imam hussein were held with grandeur."
"16-which of the following dynasties had the shiite religion?
a) al boyeh ( )
b) alevis of tabaristan ( )
c) taharian ( )",d) option a and b ( )
17- iranian muslims were pioneers in the establishment and development of which sciences?,islamic education - humanities - experimental sciences - art and literature
18- write a speech of the prophet about the knowledge of iranians.,"if knowledge is in the star surya and in the heavens, men from the land of persia (iranians) will achieve it."
19- what were the important scientific and cultural activities of iranians in the first centuries of hijri?,they compiled many books - iranian muslim scientists excelled in various fields - they compiled the rules of grammar and arabic language and literature - it was the transfer of some of the literary and historical heritage of ancient iran to the islamic society.
21-which iranian dynasty played a significant role in the prosperity and flourishing of iranian-islamic culture and civilization? why,"samaniyan and al boyeh were. because most of the rulers of these dynasties were interested in science and literature and had great value and respect for scholars, scientists and writers."
21-which samani ministers were among the famous scholars and writers?,"jeihani and balami, one of the samanian ministers"
23- name the famous poets of samani period?,rudaki (father of persian poetry) and ferdowsi
"24- from the third century of hijri onwards, as a result of which government's interest in iranian culture and language, the flourishing of persian literature began?",safarians and samanians
27-which tombs are considered the glorious manifestation of iranian-islamic architectural heritage?,the tomb of amir ismail samani in bukhara and the tomb of qaboos and shamgir in the dome of qaboos
1- what are the three dynasties of turkish descent that ruled in iran from the end of the 4th century to the beginning of the 7th century?,"ghaznavids, seljuks and khwarezmshahs."
2- why did the ghaznavids become famous with this name?,"the ghaznavids were a dynasty of turkish origin, which became known by this name when they started their rule from the city of ghaznain (ghazna)."
3- how did mahmoud ghaznavi come to power?,"when the samanid government reached its ultimate weakness and incapacity, mahmud of ghaznavi, who was the ruler of ghazna, captured khorasan. the abbasid caliph also recognized his rule."
4- why did sultan mahmud of ghaznavi win most of his wars?,with the support of his strong army.
6- why was sultan mahmud famous in history?,because he marched to india several times.
7- what was satan mahmud ghaznavi's excuse for the expedition to india?,"it was done under the pretext of spreading islam, but actually it was done due to the greed of the huge wealth that was in this country."
8- what did sultan mahmud get after his campaigns in india?,"in these campaigns, he captured parts of india and destroyed the temple of somnath. he took many captives with him to other lands and acquired many riches and trophies, which he presented to the abbasid caliph."
9- who came to rule after sultan mahmud and what happened to him?,"his son sultan masoud - although he was a fearless and bold ruler, he did not have the tact of his father. he was defeated by the seljuqs and killed by his rebel troops some time later."
"11- why did the ghaznavid government lack the popularity and acceptance that the saffarians, samanians and al-buyeh had among the people?",because the power and government of the ghaznavids was based on military force.
12- what was the relationship between the ghaznavid government and the abbasid caliphs?,"their relations were friendly and the ghaznavid sultans, especially sultan mahmud, considered themselves subservient to the abbasid caliphate."
13- who were the seljuks?,they were a tribe of turks who migrated to mawra al-nahr after accepting islam.
14- who was toghral?,he was a descendant of seljuq.
15- who took the throne after tughrel's defeat?,sultan masoud of ghaznavi
16- who was the founder of the seljuk dynasty and where was his capital?,toghral - neishabur
17- what did tughrel do after coming to power?,"after conquering different regions of iran, he went to baghdad and overthrew the shia al-buyeh government, and then eliminated the danger that the fatimid caliphate of egypt was facing the abbasid caliphate."
18- what title did the abbasid caliph give to tughrel?,satan ruknuddin
19- why did the caliph give tughrel the title of sultan rukn al-din?,due to the destruction of the fatimid caliphate of egypt.
21- write the actions of aleb arsalan?,"with the guidance of khwaja nizam al-mulk wazir, he was able to suppress internal rivals and increase the power and strength of the seljuk government. aleb arslan also campaigned in armenia and georgia."
23- what did aleb arslan do in the battle of malzgerd?,he defeated the romans and captured the eastern roman emperor.
24- what was the result of aleb arslan's victory in the battle of malazgerd?,large parts of asia minor were captured by the seljuk armies.
26- who was malik shah and what did he do?,malek shah was the son of alb arslan and one of the famous seljuk kings who conquered areas beyond the nile and the levant and brought the seljuk government to the peak of power so that the geographical area of ​​iran was equal to the time of the sassanids and from the transylvania in the east to the madirtraneh sea in the west. had expanded.
28- how did the division and collapse of the seljuqs take place?,"after the death of malik shah, princes and military commanders killed each other to reach the throne, and these disputes continued until the fall of the seljuks."
29- where was the land of khwarazm and what did they call its king?,"it was a fertile and affluent region in the south of the khorezm (aral) lake, and the kings there were called khorezmshah."
31- how were the khwarazmshahs able to win over many parts of iran?,"when the seljuk government weakened, they defied faranbari, and finally one of the rulers of khwarazm defeated the last seljuk sultan and conquered many parts of iran."
32- why were the foundations of the khwarazmshah government not so strong?,"because on the one hand, the abbasid caliphs did not recognize their rule and on the other hand, they did not have control over the local rulers."
33-who overthrew the khwarezm shah government?,mongol genghis khan
1. who was at the head of the seljuk government?,sultan
2. what was the most important position in the seljuk government?,ministry
3. how did the seljuk government gain its power and greatness?,it was obtained by the policy and efficiency of iranian ministers
4. name two important seljuk ministers?,umid al-mulk kandari khawaja nizam al-mulk
5. what was the role of iranian ministers in the administration of the country during the seljuk period?,"they played an important role and as a result of their planning and management, the economic and cultural situation improved and agriculture, commerce, industry and architecture grew a lot."
6. in what way is the seljuk period one of the prominent periods in iran's history?,in terms of expanding the knowledge of art and literature
7. what schools did khwaja nizam al-mulk establish and in which cities?,"the most important military schools are in the cities of neishabur, isfahan and baghdad"
8. why are military schools known by this name?,"khwaja nizam al-mulk founded schools in different cities, all of which were called nizamiya."
9. name two teachers of military schools?,imam mohammad ghazali and saadi
"10. where was the largest scientific, literary and religious center of iran at the time of the mongol invasion?",khorasan
"11. what was the status of persian language and literature during the ghaznavids, seljuks and khwarizmshahs?","during this period, persian language and literature received attention and support, and the interest in spreading this language increased day by day."
12. what factor caused the spread of persian language in india?,the campaigns of sultan mahmud ghaznavi and his successors to india.
13. what was the iranian language in the fifth and sixth centuries?,turkish
14. what factors caused the expansion of urbanization in the seljuk period?,peace and prosperity of business
15. which cities were the capital of the seljuks?,"ray, neishabur, isfahan"
16. what was the characteristic of architecture in the seljuk period and how did it reach its peak of prosperity?,"iranian architects built beautiful buildings in iran during the seljuk period, and architecture reached its peak of prosperity"
"17. during the seljuk period, what was the initiative of iranians in building a mosque?","the courtyard and the four porches around it became common in the construction of domes, minarets, caravanserais and schools, and new patterns were used in architecture."
18. name an example of the important effects of art in the seljuk period?,"making glazed and unglazed terracotta dishes, golden or golden dishes decorated with different motifs was one of the important effects of this period."
19. what was the important initiative of iranian architects to decorate buildings during the seljuk period?,tiling
1. who were the mongols?,they were nomadic tribes who lived in the land of mongolia located in the north of china and south of siberia.
2. what was the way of life of the mongol people?,nomadism and animal husbandry
3. why did the mongols always invade their neighbors?,"due to the increase in population and the lack of pastures, these tribes had to rob each other's neighbors to make a living."
4. what was the name of the laws of genghis?,yasa
5. what was one of the important principles of yasa genghis?,"those who surrendered to the mongol army were safe from killing and looting, but those who resisted had to be massacred and looted."
6. during which regime did the mongols attack iran?,khwarazmshahs
7. what was genghis khan's excuse for attacking iran?,"during the time of sultan mohammad khwarazmshah, when the members of a mongol trade caravan came to one of the cities of iran, they were arrested and killed for espionage by the order of the ruler of that city. genghis khan used this issue as an excuse to invade iran."
8. what did sultan mohammad khwarazmshah do against the mongols' attack?,"he rushed to confront, but in the first encounter with the mongol army, he was so scared that he ran away. his escape weakened the morale of the troops and the people."
9. why couldn't sultan jalaluddin do anything against the mongols' attack?,"he won a war against the mongols, but due to internal disputes and conflicts, there was nothing to do. in that critical situation, some generals and local rulers, as well as the abbasid caliph, not only did not help jalal al-din, but went to war with him."
10. who was holaku khan and what did he do?,"halakukhan was the grandson of genghis, he destroyed the ismailis of iran and destroyed their castles, then he overthrew the abbasid caliphate by conquering baghdad and killing the caliph."
11. who attacked iran and which government did he form in iran?,halakukhan - ilkhanan
12. what was the name of the last mughal ilkhan?,abu saeed
"13. with the collapse of the ilkhanate government, what factors caused popular uprisings?",the injustice and tyranny of the local rulers provoked the anger and dissatisfaction of the people and caused uprisings in the corners of iran.
14. what was sarbadaran's slogan?,"we hang our heads, we don't give in to humiliation."
15. how was timur's relationship with art?,he showed interest in art and opened every city and province and sent artists and artisans to his capital.
16. where was the capital of timor?,samarkand
17. what was the name of timur's successor?,shah rukh
18. the timurid government was destroyed by the emergence of which government in iran?,the safavids
1. name the actions of khwaja nasiruddin tusi?,"he was one of the most prominent iranian muslim scholars who was highly respected as halaku's advisor and during the campaign of halaku, he made great efforts to save people's lives by reducing the killings and looting of the mongols."
2. maragheh observatory was built by whose order and for what purpose?,"with the efforts of khwaja nasiruddin tusi and halako's encouragement to build it, which became a huge scientific and research center and many astronomers and scientists worked in it, this observatory was equipped with astronomical equipment and a large library."
3. who was khwaja rashiduddin fazlullah hamadani and what did he do?,"he was one of the famous iranian politicians and scientists during the mughal period, who performed many cultural and social services."
4. by whose order was the ruba rashidi building built and what institutions does it include?,"it was built in tabriz by the efforts of haj rashiduddin fazlullah hamadani and included various institutions such as the mosque, school, hospital, khanqah and library."
5. what was the most famous book of khwaja rashid?,jame al-tavarikh rashidi
6. what religions did the mongols follow?,some of them believed in the religion of their ancestors and a group followed buddhism and christianity.
7. why were christian and buddhist missionaries not successful in promoting their religion during the time of patriarchs?,"because the people of iran had a strong belief in islam, and due to the efforts of iranian scholars and ministers, the ilkhans converted to islam and became muslims."
8. name the actions of ghazan khan?,"with the encouragement and guidance of his minister, khwaja rashiduddin fazlullah hamdani, he tried to reform the administrative, financial and judicial affairs, and also worked hard for the development and development of tabriz."
9. what buildings were built in iran during ghazan khan's time?,"the ghazan dome was built in tabriz with 12 important buildings such as the hospital, mosque, palace, school, library, etc., and in many cities, a large mosque was built next to it and a hot water tank was built to cover the cost of maintaining the mosque."
10. do you write the actions of sultan muhammad khodabande or oljaito?,he was the successor of ghazan khan. he moved the capital to soltanieh at the suggestion of his minister khwaja rashiduddin fazlullah and caused settlement there.
11. where is the tomb of sultan muhammad khudabandeh?,soltanieh dome
"12. in what way are the buildings of abu saeed, the last mughal ilkhan, unique?",in terms of the grandeur of the domes and porches
13. where was shahrukh's capital?,herat
14. who was goharshad and what did he do?,"shah rukh's wife was a benevolent woman who paid attention to construction and development, and many buildings in herat and mashhad were built, the goharshad mosque near the shrine of imam reza, peace be upon him, is one of them."
15. which arts flourished during the timurid period?,painting and calligraphy
16. what is baysanqari's shahnameh?,"it is one of the most exquisite copies of the old shahnameh, which was painted and embellished by the order of baysanqar mirza, prince of timuri."
1. which oceans are around the continent of asia?,"pacific ocean, indian ocean, arctic ocean"
2. what is the border between asia and north america and africa?,suez canal bering strait
3. where is eurasia called?,"among the continents of the world, only two continents, asia and europe, are connected to each other, that's why some geographers consider these two continents as one and call them eurasia."
4. what is the border between asia and europe?,ural mountain range
5. name the unevenness of the asian continent?,"high plateaus and high mountains
lowlands
volcanic archipelago"
6. name the plateaus of asia from west to east?,"anatolia, iran, tibet, mongolia"
7. what is the name of the highest peak in the world and what is its nickname?,everest is the roof of the world
8. name the three great plains of asia?,"the siberian plain, the ganges plain, and the indus plain of china"
9. where do the ganges and indus rivers originate?,from the himalayas
10. which countries include the ganges and indus plains?,india pakistan bangladesh
11. what is delta?,"from the accumulation of alluvium in the mouth of the rivers, a land in the shape of a triangle emerges, which is called a delta."
12. what dangers are the residents of the deltas exposed to?,"exposed to sea storms, river flooding and floods"
13. the chinese plain was formed from the alluvium of which river?,yang tse kiang
14. in which part of this continent is the volcanic archipelago of asia located?,in east and southeast asia
15. name the three volcanic groups of asia?,"japan, indonesia, philippines"
16. what dangers are the countries of east and southeast asia exposed to?,"earthquake, tsunami and activation of volcanic mountains"
